program	filename	num_reads	K	run_time	max_rss	max_vmem	diff_total_kmers	diff_total_kmers_added	diff_num_kmers_gt_1	total_kmers	total_kmers_clean	total_kmers_added	num_kmers_gt_1	avg_abs_diff_in	avg_abs_diff_out	sampled
sfs		7m	21	847	67	92	447702931	-49701933	1551865	527702931	0	16838242	4976271	0.858039	0.201665	15
cqf		7m	21	51	94	115	447702931	-49701933	1678493	527702931	0	16838242	5102899	0.773217	0.205935	15
bf2		7m	21	1066	3840	3867	447702931	-49567742	1678496	527702931	0	16972433	5102902	4.761706	5.974541	15
cml		7m	21	871	3940	3965	447702931	-49701933	57014369	527702931	0	16838242	60438775	1.123893	2.213160	15
sfs		7m	21	893	67	88	447702931	-40170647	1670923	527702931	0	26369528	5095329	0.480986	0.542838	30
cqf		7m	21	71	94	115	447702931	-40170647	5105504	527702931	0	26369528	8529910	0.384631	0.554151	30
bf2		7m	21	1316	3676	3703	447702931	-40024497	5105514	527702931	0	26515678	8529920	5.089419	6.301248	30
cml		7m	21	952	3940	3965	447702931	-40170647	58144263	527702931	0	26369528	61568669	1.409472	2.568306	30
sfs		7m	21	1097	67	88	447702931	-33602909	1701860	527702931	0	32937266	5126266	0.289406	0.809983	45
cqf		7m	21	97	94	115	447702931	-33602909	11336579	527702931	0	32937266	14760985	0.191711	0.824172	45
bf2		7m	21	1382	3359	3386	447702931	-33449253	11336616	527702931	0	33090922	14761022	5.278535	6.490507	45
cml		7m	21	1023	3940	3965	447702931	-33602909	58157309	527702931	0	32937266	61581715	1.584089	2.771932	45
sfs		7m	21	1295	67	88	447702931	-28725023	1722843	527702931	0	37815152	5147249	0.212521	0.948335	60
cqf		7m	21	128	94	115	447702931	-28725023	19028343	527702931	0	37815152	22452749	0.134684	0.965617	60
bf2		7m	21	1545	2951	2978	447702931	-28566410	19028430	527702931	0	37973765	22452836	5.410145	6.622166	60
cml		7m	21	1114	3940	3965	447702931	-28725023	58157309	527702931	0	37815152	61581715	1.708262	2.914770	60
