program	error	time (sec)	rmem (KB)	vmem (KB)	recall	precision	F-score	gain
lighter	1%	48	28796	44400	0.9988	0.9998	0.9993	0.9986
lighter	3%	51	28796	44396	0.9855	0.9998	0.9926	0.9852
cqf	1%	69	158072	174004	0.9988	0.9998	0.9993	0.9986
cqf	3%	72	158064	174004	0.9872	0.9998	0.9934	0.9869
cqf_modified	1%	84	79684	95532	0.0112	0.7553	0.0221	0.0076
cqf_modified	3%	81	79692	95532	0.0080	0.9109	0.0158	0.0072
bf2	1%	148	12940	30940	0.0250	0.3931	0.0471	-0.0136
bf2	3%	161	12944	30940	0.0001	0.9747	0.0001	0.0001
cml	1%	476	63960	79592	0.0000	1.0000	0.0000	0.0000
cml	3%	514	63960	79592	0.0000	1.0000	0.0001	0.0000
